customer_id,full_name,email,city,state,country,postal_code,acquisition_channel,is_active,created_at,updated_at,_loaded_at
CUST-00001,Brian Yang,johnsonjoshua@example.org,New Roberttown,CO,US,29158,Paid Search,False,2024-01-05T00:27:29.211113,2026-04-24T19:23:12.121124,2026-04-24T19:23:36.078231
CUST-00002,Kevin Pacheco,jennifermiles@example.com,Port Lindachester,MA,US,36922,Referral,True,2023-10-12T10:47:55.258147,2026-04-24T19:23:33.432784,2026-04-24T19:23:36.091878
CUST-00003,Lindsey Roman,CURTIS61@EXAMPLE.COM,Herrerafurt,CO,US,72858,social media,True,2024-03-11T07:53:59.291195,2026-04-24T19:23:13.718388,2026-04-24T19:23:36.092577
CUST-00004,Dylan Miller,barbara10@example.net,Port Craig,KY,US,59930,Paid Search,True,2025-03-21T14:52:28.419809,2026-04-24T19:22:57.889931,2026-04-24T19:23:36.105763
CUST-00005,Kimberly Sanchez,michael41@example.net,Grayside,IN,US,90234,ORGANIC SEARCH,False,2024-04-14T09:51:42.460943,2026-04-24T19:23:22.098815,2026-04-24T19:23:36.107057
CUST-00006,Austin Gentry,PEREZANTONIO@EXAMPLE.COM,Jasonfort,MO,US,84760,EMAIL,True,2024-09-08T20:39:40.794523,2026-04-24T19:22:51.892810,2026-04-24T19:23:36.108111
CUST-00007,Stephanie Ross,julieryan@example.net,East William,CO,US,99562,ORGANIC SEARCH,True,2023-06-15T17:08:42.234683,2026-04-24T19:22:42.578948,2026-04-24T19:23:36.108874
CUST-00008,Kyle Mcdonald,laurahenderson@example.org,Tashatown,TX,US,94967,PAID_SEARCH,True,2023-08-28T14:30:38.461924,2026-04-24T19:23:29.087307,2026-04-24T19:23:36.109325
CUST-00009,Jesse Mckay,KAYLA51@EXAMPLE.COM,Teresaburgh,NY,US,14448,Referral,True,2025-12-03T22:22:09.843195,2026-04-24T19:22:53.906687,2026-04-24T19:23:36.109796
CUST-00010,Tammy Sellers,ericfarmer@example.net,Tracyville,MN,US,40807,ORGANIC SEARCH,True,2024-01-12T11:03:13.658646,2026-04-24T19:22:50.452296,2026-04-24T19:23:36.110229
CUST-00011,Kim Martinez,millertodd@example.org,Arroyoburgh,KS,US,69664,social media,True,2025-12-06T00:42:53.119631,2026-04-24T19:23:01.388276,2026-04-24T19:23:36.110688
CUST-00012,Eric Carney,SARAHCAMPOS@EXAMPLE.NET,Samuelhaven,NV,US,16361,organic,True,2024-01-21T17:21:09.135792,2026-04-24T19:22:39.841554,2026-04-24T19:23:36.111394
CUST-00013,Michael Brown,chapmanjerry@example.org,North Micheleland,NY,US,31696,EMAIL,True,2024-02-24T05:18:11.794159,2026-04-24T19:23:05.124870,2026-04-24T19:23:36.112262
